Genotype,Block1,Block2,Block3,Block4,Block5,Block6
G1,44/53,42/48,27/51,16/60,9/52,26/54
G2,24/48,35/42,45/52,13/44,20/48,16/53
G3,8/49,16/49,16/50,4/52,6/51,12/43
G4,4/51,5/42,12/46,15/52,10/56,6/48
G5,11/52,13/51,15/44,4/51,6/43,9/46
G6,15/50,5/49,7/50,1/51,8/49,3/54
G7,18/52,13/47,7/47,2/52,4/52,6/52
G8,5/47,15/49,8/50,6/56,4/50,6/42
G9,11/52,6/45,5/51,3/54,8/51,3/53
G10,0/51,10/39,14/48,3/50,0/50,10/51
G11,6/52,4/46,10/37,1/52,7/38,4/48
G12,0/52,4/55,1/40,1/50,3/50,1/45
G13,14/45,18/43,4/40,4/51,7/46,7/45
G14,3/52,12/53,4/55,3/52,7/48,12/49
G15,11/52,6/54,5/49,2/50,4/46,14/53
G16,4/53,1/40,4/52,4/56,1/44,3/42
