Bioen,SP,Treat,Rep,Overvi,Dead
B1,Daphnia,Tl,1,10,0
B1,Daphnia,Tl,2,10,0
B1,Daphnia,Tl,3,10,0
B1,Daphnia,T2,1,10,0
B1,Daphnia,T2,2,10,0
B1,Daphnia,T2,3,10,0
B1,Daphnia,T3,1,9,1
B1,Daphnia,T3,2,9,1
B1,Daphnia,T3,3,8,2
B1,Da hnia,T4,1,2,8
B1,Da hnia,T4,2,2,8
B1,Daphnia,T4,3,3,7
B1,Daphnia,T5,1,0,10
B1,Daphnia,T5,2,0,10
B1,Daphnia,T5,3,0,10
B1,Da hnia,T6,1,0,10
B1,Daphnia,T6,2,0,10
B1,Daphnia,T6,3,0,10
B2,Daphnia,Tl,1,10,0
B2,Daphnia,Tl,2,10,0
B2,Daphnia,Tl,3,10,0
B2,Daphnia,T2,1,10,0
B2,Daphnia,T2,2,10,0
B2,Daphnia,T2,3,10,0
B2,Daphnia,T3,1,9,1
B2,Daphnia,T3,2,9,1
B2,Da hnia,T3,3,9,1
B2,Daphnia,T4,1,2,8
B2,Daphnia,T4,2,2,8
B2,Daphnia,T4,3,2,8
B2,Daphnia,T5,1,0,10
B2,Daphnia,T5,2,0,10
B2,Da hnia,T5,3,0,10
B2,Da hnia,T6,1,0,10
B2,Daphnia,T6,2,0,10
B2,Daphnia,T6,3,0,10
B3,Daphnia,Tl,1,10,0
B3,Daphnia,Tl,2,10,0
B3,Da hnia,Tl,3,10,0
B3,Da hnia,T2,1,10,0
B3,Daphnia,T2,2,10,0
B3,Daphnia,T2,3,10,0
B3,Daphnia,T3,1,8,2
B3,Daphnia,T3,2,9,1
B3,Da hnia,T3,3,9,1
B3,Daphnia,T4,1,3,7
B3,Daphnia,T4,2,2,8
B3,Daphnia,T4,3,2,8
B3,Daphnia,T5,1,0,10
B3,Daphnia,T5,2,0,10
B3,Da hnia,T5,3,0,10
B3,Daphnia,T6,1,0,10
B3,Daphnia,T6,2,0,10
B3,Daphnia,T6,3,0,10
B1,Dubia,T1,1,10,0
B1,Dubia,T1,2,10,0
B1,Dubia,T1,3,10,0
B1,Dubia,T2,1,5,5
B1,Dubia,T2,2,6,4
B1,Dubia,T2,3,6,4
B1,Dubia,T3,1,5,5
B1,Dubia,T3,2,5,5
B1,Dubia,T3,3,5,5
B1,Dubia,T4,1,2,8
B1,Dubia,T4,2,3,7
B1,Dubia,T4,3,3,7
B1,Dubia,T5,1,2,8
B1,Dubia,T5,2,2,8
B1,Dubia,T5,3,2,8
B1,Dubia,T6,1,0,10
B1,Dubia,T6,2,0,10
B1,Dubia,T6,3,0,10
B2,Dubia,T1,1,10,0
B2,Dubia,T1,2,10,0
B2,Dubia,T1,3,10,0
B2,Dubia,T2,1,7,3
B2,Dubia,T2,2,5,5
B2,Dubia,T2,3,6,4
B2,Dubia,T3,1,5,5
B2,Dubia,T3,2,5,5
B2,Dubia,T3,3,5,5
B2,Dubia,T4,1,4,6
B2,Dubia,T4,2,4,6
B2,Dubia,T4,3,4,6
B2,Dubia,T5,1,2,8
B2,Dubia,T5,2,2,8
B2,Dubia,T5,3,2,8
B2,Dubia,T6,1,0,10
B2,Dubia,T6,2,0,10
B2,Dubia,T6,3,0,10
B3,Dubia,T1,1,10,0
B3,Dubia,T1,2,10,0
B3,Dubia,T1,3,10,0
B3,Dubia,T2,1,8,2
B3,Dubia,T2,2,8,2
B3,Dubia,T2,3,7,3
B3,Dubia,T3,1,5,5
B3,Dubia,T3,2,5,5
B3,Dubia,T3,3,6,4
B3,Dubia,T4,1,2,8
B3,Dubia,T4,2,3,7
B3,Dubia,T4,3,2,8
B3,Dubia,T5,1,3,7
B3,Dubia,T5,2,2,8
B3,Dubia,T5,3,2,8
B3,Dubia,T6,1,0,10
B3,Dubia,T6,2,0,10
B3,Dubia,T6,3,0,10
