Block,S,C,Mortality,Pct
1,3,1,3.33,0.0333
1,3,3,16,0.16
1,3,2,16,0.16
1,1,1,3.33,0.0333
1,1,3,6.6,0.066
1,1,2,3.3,0.033
1,2,1,10,0.1
1,2,3,3.33,0.0333
1,2,2,3.33,0.0333
1,4,1,3.33,0.0333
1,4,3,16,0.16
1,4,2,13.3,0.133
2,4,3,3.3,0.033
2,4,1,3.3,0.033
2,4,2,20,0.2
2,1,3,10,0.1
2,1,1,3.33,0.0333
2,1,2,6.6,0.066
2,2,3,36.6,0.366
2,2,1,26.6,0.266
2,2,2,43.3,0.433
2,3,3,3.3,0.033
3,3,1,6.6,0.066
3,3,2,10,0.1
3,3,3,56.6,0.566
3,2,1,3.3,0.033
3,2,2,26.6,0.266
3,2,3,40,0.4
3,4,1,3.3,0.033
3,4,2,46,0.46
3,4,3,33.3,0.333
3,1,1,6.6,0.066
3,1,2,43.3,0.433
3,1,3,50,0.5
4,4,1,33,0.33
4,4,2,10,0.1
4,4,3,23.3,0.233
4,2,3,50,0.5
4,1,2,23.3,0.233
4,1,3,6.6,0.066
4,2,1,16,0.16
4,2,2,10,0.1
4,2,3,16,0.16
