Population,Plant,Stamens,Eggs,Total no. of flowers,Ratio (stamens/ovules)
St. Croix,1,30.75,13.75,8,2.24
St. Croix,2,33.83,16.17,12,2.09
St. Croix,3,35.67,16.33,6,2.18
St. Croix,4,35.4,17.4,14,2.03
St. Croix,5,33.5,23.5,13,1.43
St. Croix,6,37.4,18.4,10,2.03
St. Croix,7,33.57,21.29,25,1.58
St. Croix,8,29.86,28.71,20,1.04
St. Croix,9,33.8,29.6,17,1.14
St. Croix,10,31.6,25.8,14,1.22
St. Croix,11,32.57,27.5,21,1.18
St. Croix,12,31.8,24,13,1.33
St. Croix,13,35.25,17.75,8,1.99
St. Croix,14,30,16.83,13,1.78
St. Croix,15,30.5,18.75,9,1.63
St. Croix,16,32.2,21.4,13,1.5
St. Croix,17,32.4,26.25,12,1.23
St. Croix,18,38.5,17.75,8,2.17
St. Croix,19,37,25.83,16,1.43
St. Croix,20,33,25.25,8,1.31
St. Croix,21,31.4,25.2,15,1.25
St. Croix,22,31.8,25.6,14,1.24
St. Croix,23,30.4,19.2,15,1.58
St. Croix,24,35.2,22.4,22,1.57
St. Croix,25,27.8,20.8,10,1.34
St. Croix,26,31.29,22.71,14,1.38
St. Croix,27,32.83,22.33,20,1.47
St. Croix,29,31.2,17.4,14,1.79
St. Croix,30,33,19.2,13,1.72
St. Croix,31,33.8,22.2,13,1.52
St. Croix,32,32.22,27.63,31,1.17
St. Croix,33,32.91,28.73,18,1.15
St. Croix,34,34.5,15.75,9,2.19
St. Croix,35,28.33,17.33,8,1.63
St. Croix,36,30.71,23.14,14,1.33
St. Croix,37,33,24,14,1.38
St. Croix,38,31,20.5,4,1.51
St. Croix,39,35,21.83,15,1.6
St. Croix,40,35,18,10,1.94
Cedar Creek,1,30.17,18.67,16,1.62
Cedar Creek,2,32.43,15.14,23,2.14
Cedar Creek,3,28,14,15,2
Cedar Creek,4,29.22,16.89,35,1.73
Cedar Creek,5,36,17.14,20,2.1
Cedar Creek,6,30.83,20.17,15,1.53
Cedar Creek,7,31.75,18,18,1.76
Cedar Creek,8,29.25,19,8,1.54
Cedar Creek,9,32.78,24.44,24,1.34
Cedar Creek,10,32.67,22.83,17,1.43
Cedar Creek,11,31.43,21,28,1.5
Cedar Creek,15,33.5,29.5,4,1.14
Cedar Creek,16,32.83,15.17,20,2.16
Cedar Creek,17,35,15,9,2.33
Cedar Creek,18,33.17,13.83,15,2.4
Cedar Creek,19,33.29,27.14,28,1.23
Cedar Creek,20,35.5,19.83,16,1.79
Cedar Creek,21,35.71,18.86,21,1.89
Cedar Creek,23,31.38,25.63,5,1.22
Cedar Creek,25,28.25,17.5,11,1.61
Cedar Creek,27,31.82,24.91,37,1.28
Cedar Creek,28,35.13,26.88,23,1.31
Cedar Creek,32,33.75,21.63,26,1.56
Cedar Creek,33,32,20.8,14,1.54
Cedar Creek,34,36.29,17,18,2.13
Cedar Creek,35,28.6,16.4,11,1.74
Cedar Creek,36,33,20.8,14,1.59
Cedar Creek,37,34.9,25.11,49,1.39
Cedar Creek,38,34.8,19.6,18,1.78
Cedar Creek,40,30,21.17,16,1.42
Cedar Creek,41,34.5,20.5,16,1.68
Cedar Creek,42,37.75,29,18,1.3
Cedar Creek,43,33.5,20.75,10,1.61
Cedar Creek,44,33,22.4,12,1.47
Cedar Creek,45,35.5,21.5,16,1.65
Cedar Creek,46,32.5,22,14,1.48
Cedar Creek,47,32.67,16.67,8,1.96
Cedar Creek,48,35.75,21.5,26,1.66
Cedar Creek,49,31.38,22.88,22,1.37
Cedar Creek,50,33.83,20.5,17,1.65
