sub1,Rep1,NB,sub1,Rep1,NB,sub1,Repl,NB,sub1,Repl,NB
1,1,18,,,,,,,,,
1,2,16,,,,,,,,,
1,3,15,,,,,,,,,
1,4,15,,,,,,,,,
1,5,11,,,,,,,,,
1,6,17,,,,,,,,,
1,7,10,,,,,,,,,
1,8,8,,,,,,,,,
1,9,17,,,,,,,,,
1,10,13,,,,,,,,,
1,11,16,,,,,,,,,
1,12,15,,,,,,,,,
1,13,12,,,,,,,,,
1,14,15,,,,,,,,,
1,15,8,,,,,,,,,
1,16,8,,,,,,,,,
1,17,15,,,,,,,,,
1,18,15,,,,,,,,,
1,19,14,,,,,,,,,
1,20,8,,,,,,,,,
2,1,15,,,,,,,,,
2,2,11,,,,,,,,,
2,3,12,,,,,,,,,
2,4,18,,,,,,,,,
3,2,24,,,,,,,,,
3,3,24,,,,,,,,,
3,4,19,,,,,,,,,
3,5,25,,,,,,,,,
3,6,24,,,,,,,,,
3,7,20,,,,,,,,,
3,8,24,,,,,,,,,
3,9,20,,,,,,,,,
3,10,19,,,,,,,,,
3,11,26,,,,,,,,,
3,12,22,,,,,,,,,
3,13,23,,,,,,,,,
3,14,24,,,,,,,,,
3,15,23,,,,,,,,,
4,1,24,,,,,,,,,
4,2,28,,,,,,,,,
4,3,29,,,,,,,,,
4,4,34,,,,,,,,,
4,5,24,,,,,,,,,
4,6,24,,,,,,,,,
4,7,25,,,,,,,,,
4,8,28,,,,,,,,,
4,9,24,,,,,,,,,
4,10,32,,,,,,,,,
6,1,45,,,,,,,,,
6,2,44,,,,,,,,,
6,3,45,,,,,,,,,
6,4,44,,,,,,,,,
6,5,52,,,,,,,,,
6,6,47,,,,,,,,,
6,7,46,,,,,,,,,
6,8,45,,,,,,,,,
6,9,48,,,,,,,,,
6,10,56,,,,,,,,,
6,11,54,,,,,,,,,
6,12,44,,,,,,,,,
6,13,54,,,,,,,,,
6,14,62,,,,,,,,,
6,15,55,,,,,,,,,
6,16,45,,,,,,,,,
7,1,56,,,,,,,,,
7,2,62,,,,,,,,,
7,3,45,,,,,,,,,
7,4,45,,,,,,,,,
7,5,46,,,,,,,,,
7,6,48,,,,,,,,,
7,7,55,,,,,,,,,
7,8,45,,,,,,,,,
8,9,53,,,,,,,,,
8,10,59,,,,,,,,,
8,11,57,,,,,,,,,
8,12,65,,,,,,,,,
8,13,63,,,,,,,,,
8,14,55,,,,,,,,,
8,15,50,,,,,,,,,
8,16,52,,,,,,,,,
8,17,55,,,,,,,,,
8,18,50,,,,,,,,,
8,19,53,,,,,,,,,
8,20,52,,,,,,,,,
9,1,48,,,,,,,,,
9,2,44,,,,,,,,,
9,3,54,,,,,,,,,
9,4,55,,,,,,,,,
9,5,51,,,,,,,,,
9,6,58,,,,,,,,,
9,7,47,,,,,,,,,
9,8,42,,,,,,,,,
9,9,50,,,,,,,,,
9,10,48,,,,,,,,,
9,11,48,,,,,,,,,
9,12,53,,,,,,,,,
2,5,8,,,,,,,,,
2,6,17,,,,,,,,,
2,7,8,,,,,,,,,
2,8,18,,,,,,,,,
2,9,22,,,,,,,,,
2,10,19,,,,,,,,,
2,11,19,,,,,,,,,
2,12,24,,,,,,,,,
2,13,12,,,,,,,,,
2,14,12,,,,,,,,,
2,15,11,,,,,,,,,
2,16,21,,,,,,,,,
2,17,10,,,,,,,,,
2,18,15,,,,,,,,,
2,19,20,,,,,,,,,
2,20,22,,,,,,,,,
2,21,20,,,,,,,,,
2,22,13,,,,,,,,,
2,23,18,,,,,,,,,
3,1,19,,,,,,,,,
4,11,34,,,,,,,,,
4,12,30,,,,,,,,,
4,13,26,,,,,,,,,
4,14,27,,,,,,,,,
4,15,29,,,,,,,,,
5,1,38,,,,,,,,,
5,2,38,,,,,,,,,
5,3,37,,,,,,,,,
5,4,41,,,,,,,,,
5,5,46,,,,,,,,,
5,6,44,,,,,,,,,
5,7,54,,,,,,,,,
5,8,45,,,,,,,,,
5,9,60,,,,,,,,,
5,10,57,,,,,,,,,
5,11,51,,,,,,,,,
5,12,54,,,,,,,,,
5,13,51,,,,,,,,,
5,14,62,,,,,,,,,
5,15,53,,,,,,,,,
7,9,45,,,,,,,,,
7,10,44,,,,,,,,,
7,11,52,,,,,,,,,
7,12,45,,,,,,,,,
7,13,43,,,,,,,,,
7,14,58,,,,,,,,,
7,15,62,,,,,,,,,
7,16,45,,,,,,,,,
7,17,63,,,,,,,,,
7,18,56,,,,,,,,,
7,19,55,,,,,,,,,
7,20,50,,,,,,,,,
8,1,53,,,,,,,,,
8,2,58,,,,,,,,,
8,3,56,,,,,,,,,
8,4,50,,,,,,,,,
8,5,57,,,,,,,,,
8,6,60,,,,,,,,,
8,7,50,,,,,,,,,
8,8,52,,,,,,,,,
9,13,54,,,,,,,,,
9,14,59,,,,,,,,,
9,15,58,,,,,,,,,
10,1,46,,,,,,,,,
10,2,38,,,,,,,,,
10,3,29,,,,,,,,,
10,4,30,,,,,,,,,
10,5,31,,,,,,,,,
10,6,33,,,,,,,,,
10,7,35,,,,,,,,,
10,8,59,,,,,,,,,
10,9,37,,,,,,,,,
10,10,44,,,,,,,,,
10,11,42,,,,,,,,,
10,12,41,,,,,,,,,
10,13,45,,,,,,,,,
10,14,38,,,,,,,,,
10,15,40,,,,,,,,,
