Genotype,Culture,Petridish,1,2,3,4,5,6
1,1,1,10,7,5,7,12,1
1,1,2,6,16,20,5,16,13
1,1,3,10,12,13,0,12,15
1,1,4,10,12,2,8,15,2
1,2,1,20,16,14,18,17,20
1,2,2,12,8,18,20,20,17
1,2,3,22,13,24,15,10,14
1,2,4,11,12,18,19,14,18
1,3,1,20,18,15,18,20,18
1,3,2,5,20,0,18,5,0
1,3,3,17,10,20,12,14,21
1,3,4,4,8,5,12,10,15
1,4,1,10,4,0,5,4,8
1,4,2,5,5,6,2,3,1
1,4,3,7,5,10,2,10,0
1,4,4,9,5,8,4,4,7
2,1,1,16,9,10,11,9,12
2,1,2,13,7,3,2,3,12
2,1,3,14,6,9,9,15,18
2,1,4,13,0,3,7,5,2
2,2,1,8,9,10,9,15,9
2,2,2,11,12,8,9,12,10
2,2,3,15,6,9,9,16,16
2,2,4,18,12,6,0,13,14
2,3,1,8,12,6,4,6,11
2,3,2,10,10,12,12,15,10
2,3,3,10,10,17,10,14,12
2,3,4,10,14,14,14,9,14
2,4,1,9,5,1,9,15,9
2,4,2,2,6,2,3,7,0
2,4,3,4,12,2,0,4,3
2,4,4,6,1,9,3,5,8
