Variety,Time,Block,y
Gambella,T1,1,7.25
Gambella,T1,2,11.16
Gambella,T1,3,15.9
Macia,T1,1,10.91
Macia,T1,2,8.75
Macia,T1,3,10.87
Meko,T1,1,24.65
Meko,T1,2,23.63
Meko,T1,3,28.75
Red Swazi,T1,1,20.95
Red Swazi,T1,2,15.82
Red Swazi,T1,3,25.24
Teshale,T1,1,25.92
Teshale,T1,2,27.64
Teshale,T1,3,28.03
76T1#23,T1,1,23.39
76T1#23,T1,2,19.43
76T1#23,T1,3,25.55
Gambella,T2,1,10.03
Gambella,T2,2,12.9
Gambella,T2,3,17.84
Macia,T2,1,7.88
Macia,T2,2,9.14
Macia,T2,3,11.99
Meko,T2,1,22.97
Meko,T2,2,25.37
Meko,T2,3,25.71
Red Swazi,T2,1,21
Red Swazi,T2,2,15.09
Red Swazi,T2,3,24.84
Teshale,T2,1,25.42
Teshale,T2,2,26.86
Teshale,T2,3,26.64
76 T1#23,T2,1,23.69
76 T1#23,T2,2,20.71
76 T1#23,T2,3,26.14
Gambella,T3,1,12.45
Gambella,T3,2,15.34
Gambella,T3,3,17.32
Macia,T3,1,8.51
Macia,T3,2,8.15
Macia,T3,3,13.07
Meko,T3,1,22.09
Meko,T3,2,24.11
Meko,T3,3,24.47
Red Swazi,T3,1,20.81
Red Swazi,T3,2,16.05
Red Swazi,T3,3,23.7
Teshale,T3,1,26.42
Teshale,T3,2,27.07
Teshale,T3,3,28.01
76 T1#23,T3,1,24.18
76 T1#23,T3,2,19.58
76 T1#23,T3,3,25.74
